,dataset,x,y
0,dino,55.3846,97.1795
1,dino,51.5385,96.0256
2,dino,46.1538,94.4872
3,dino,42.8205,91.4103
4,dino,40.7692,88.3333
5,dino,38.7179,84.8718
6,dino,35.641,79.8718
7,dino,33.0769,77.5641
8,dino,28.9744,74.4872
9,dino,26.1538,71.4103
10,dino,23.0769,66.4103
11,dino,22.3077,61.7949
12,dino,22.3077,57.1795
13,dino,23.3333,52.9487
14,dino,25.8974,51.0256
15,dino,29.4872,51.0256
16,dino,32.8205,51.0256
17,dino,35.3846,51.4103
18,dino,40.2564,51.4103
19,dino,44.1026,52.9487
20,dino,46.6667,54.1026
21,dino,50.0,55.2564
22,dino,53.0769,55.641
23,dino,56.6667,56.0256
24,dino,59.2308,57.9487
25,dino,61.2821,62.1795
26,dino,61.5385,66.4103
27,dino,61.7949,69.1026
28,dino,57.4359,55.2564
29,dino,54.8718,49.8718
30,dino,52.5641,46.0256
31,dino,48.2051,38.3333
32,dino,49.4872,42.1795
33,dino,51.0256,44.1026
34,dino,45.3846,36.4103
35,dino,42.8205,32.5641
36,dino,38.7179,31.4103
37,dino,35.1282,30.2564
38,dino,32.5641,32.1795
39,dino,30.0,36.7949
40,dino,33.5897,41.4103
41,dino,36.6667,45.641
42,dino,38.2051,49.1026
43,dino,29.7436,36.0256
44,dino,29.7436,32.1795
45,dino,30.0,29.1026
46,dino,32.0513,26.7949
47,dino,35.8974,25.2564
48,dino,41.0256,25.2564
49,dino,44.1026,25.641
50,dino,47.1795,28.718
51,dino,49.4872,31.4103
52,dino,51.5385,34.8718
53,dino,53.5897,37.5641
54,dino,55.1282,40.641
55,dino,56.6667,42.1795
56,dino,59.2308,44.4872
57,dino,62.3077,46.0256
58,dino,64.8718,46.7949
59,dino,67.9487,47.9487
60,dino,70.5128,53.718
61,dino,71.5385,60.641
62,dino,71.5385,64.4872
63,dino,69.4872,69.4872
64,dino,46.9231,79.8718
65,dino,48.2051,84.1026
66,dino,50.0,85.2564
67,dino,53.0769,85.2564
68,dino,55.3846,86.0256
69,dino,56.6667,86.0256
70,dino,56.1538,82.9487
71,dino,53.8462,80.641
72,dino,51.2821,78.718
73,dino,50.0,78.718
74,dino,47.9487,77.5641
75,dino,29.7436,59.8718
76,dino,29.7436,62.1795
77,dino,31.2821,62.5641
78,dino,57.9487,99.4872
79,dino,61.7949,99.1026
80,dino,64.8718,97.5641
81,dino,68.4615,94.1026
82,dino,70.7692,91.0256
83,dino,72.0513,86.4103
84,dino,73.8462,83.3333
85,dino,75.1282,79.1026
86,dino,76.6667,75.2564
87,dino,77.6923,71.4103
88,dino,79.7436,66.7949
89,dino,81.7949,60.2564
90,dino,83.3333,55.2564
91,dino,85.1282,51.4103
92,dino,86.4103,47.5641
93,dino,87.9487,46.0256
94,dino,89.4872,42.5641
95,dino,93.3333,39.8718
96,dino,95.3846,36.7949
97,dino,98.2051,33.718
98,dino,56.6667,40.641
99,dino,59.2308,38.3333
100,dino,60.7692,33.718
101,dino,63.0769,29.1026
102,dino,64.1026,25.2564
103,dino,64.359,24.1026
104,dino,74.359,22.9487
105,dino,71.2821,22.9487
106,dino,67.9487,22.1795
107,dino,65.8974,20.2564
108,dino,63.0769,19.1026
109,dino,61.2821,19.1026
110,dino,58.7179,18.3333
111,dino,55.1282,18.3333
112,dino,52.3077,18.3333
